charge,line,phase,repl,compound,is_standard,was_imputed,peak_area,n_peak_area
negative,am1,e,r1,NegIS_Glucose-2H7-13C6,TRUE,FALSE,10950635.869068911,0.012247422091921043
negative,am1,e,r1,NegIS_Glutamine-2H5-15N2,TRUE,FALSE,16751652.82494198,0.018735401791953682
negative,am1,e,r1,NegIS_Glycine-13C2_15N1,TRUE,FALSE,2280142.405259711,0.0025501593515480665
negative,am1,e,r1,NegIS_Inosine-15N4,TRUE,FALSE,1203431.0247768892,0.0013459426370469613
negative,am1,e,r1,NegIS_Lysine-2H8,TRUE,FALSE,152072.9439319201,1.700815875319238e-4
negative,am1,e,r1,NegIS_Malate-2H3,TRUE,FALSE,15887068.782373415,0.017768432765690463
negative,am1,e,r1,NegIS_Serine-13C3-15N1,TRUE,FALSE,571618.3451536696,6.393100119744604e-4
negative,am1,e,r1,NegIS_Thymine-2H4,TRUE,FALSE,2226213.0593367405,0.002489843633761716
negative,am1,e,r2,GTP,FALSE,FALSE,28765.594037994582,2.953012243637146e-5
negative,am1,e,r2,CTP,FALSE,FALSE,41981.9151346668,4.309770527952898e-5
negative,am1,e,r2,UTP,FALSE,FALSE,121749.279414645,1.249851166955116e-4
negative,am1,e,r2,Fructose-1 6-bisphosphate,FALSE,FALSE,231264.85235772422,2.3741138098287205e-4
negative,am1,e,r2,Thiamine pyrophosphate,FALSE,FALSE,125950.50248801691,1.2929799935579373e-4
negative,am1,e,r2,ATP,FALSE,FALSE,394905.627713757,4.054013806145047e-4
negative,am1,e,r2,Glutathione disulfide,FALSE,FALSE,1176254.4285419798,0.0012075167731731772
negative,am1,e,r2,Lysine,FALSE,FALSE,116517.92277146991,1.196147217028951e-4
negative,am1,e,r2,"NADP+",FALSE,FALSE,245318.14346541782,2.518381787224224e-4
negative,am1,e,r2,Pyridoxamine 5-phosphate,FALSE,FALSE,5523.977854866448,5.670793454658067e-6
negative,am1,e,r2,Arginine,FALSE,FALSE,75485.27077833434,7.74915089631943e-5
negative,am1,e,r2,Ornithine,FALSE,FALSE,18181.981623687392,1.866522008112078e-5
negative,am1,e,r2,"NADPH",FALSE,FALSE,75255.48632187316,7.72556173238869e-5
negative,am1,e,r2,Glucose-6-phosphate,FALSE,FALSE,1120646.1749146709,0.0011504305702629137
negative,am1,e,r2,ADP,FALSE,FALSE,1507401.5338300013,0.0015474650652435261
negative,am1,e,r2,Isocitrate,FALSE,FALSE,544968002.1452451,0.5594520942622524
negative,am1,e,r2,GMP,FALSE,FALSE,213846.51245726316,2.1953009860019095e-4
negative,am1,e,r2,CMP,FALSE,FALSE,311814.8261522869,3.201022020122638e-4
negative,am1,e,r2,Aconitate,FALSE,FALSE,6632995.554135054,0.006809286489088308
negative,am1,e,r2,UDP-D-Glucose,FALSE,FALSE,3458213.039753538,0.003550124997943473
negative,am1,e,r2,UMP,FALSE,FALSE,750898.4119673789,7.708556970311565e-4
negative,am1,e,r2,"NAD+",FALSE,FALSE,1548774.1183976696,0.0015899372452436564
negative,am1,e,r2,ADP-D-Glucose,FALSE,FALSE,1962.5652831625996,2.0147261003758486e-6
negative,am1,e,r2,Dihydroxyacetone phosphate,FALSE,FALSE,60368.53786347985,6.197300539174152e-5
negative,am1,e,r2,UDP-N-acetyl-glucosamine,FALSE,FALSE,1559439.2758812604,0.00160088585996295
negative,am1,e,r2,5-Aminoimidazole-4-carboxamide ribonucleotide,FALSE,FALSE,77261.22862941395,7.931466800225137e-5
negative,am1,e,r2,Glycerol-3-phosphate,FALSE,FALSE,287764.3327015619,2.954124975230402e-4
negative,am1,e,r2,AMP,FALSE,FALSE,1111922.219082399,0.0011414747502121888
negative,am1,e,r2,Deoxyribose phosphate,FALSE,FALSE,55029.359748770345,5.64919232618639e-5
negative,am1,e,r2,N-carbomoyl-L-aspartate,FALSE,FALSE,5326735.745234502,0.00546830906864656
negative,am1,e,r2,Tartaric acid,FALSE,FALSE,94410.70679053306,9.691994287155603e-5
negative,am1,e,r2,Malate,FALSE,FALSE,83061378.56436838,0.08526897360436357
negative,am1,e,r2,Aminoadipic acid,FALSE,FALSE,87615.18632591492,8.994381190502753e-5
negative,am1,e,r2,Galacturonic acid,FALSE,FALSE,41202.8691084721,4.2297953864463054e-5
negative,am1,e,r2,"NADH",FALSE,FALSE,88148.96574948727,9.049177805206024e-5
negative,am1,e,r2,Glutathione,FALSE,FALSE,6337546.47222762,0.006505984998046049
negative,am1,e,r2,Aspartate,FALSE,FALSE,510231.805797532,5.23792683586883e-4
negative,am1,e,r2,Glutamate,FALSE,FALSE,55510662.48117531,0.05698601799872578
negative,am1,e,r2,Malonic acid,FALSE,FALSE,5702801.400112724,0.0058543697499591
negative,am1,e,r2,2-Hydroxyglutarate,FALSE,FALSE,9966357.4102704525,0.010231242024106739
negative,am1,e,r2,N-Acetylaspartate,FALSE,FALSE,1992367.1171364286,0.0020453200038048265
negative,am1,e,r2,FAD,FALSE,FALSE,44431.3117467854,4.5612201651672685e-5
negative,am1,e,r2,Glucuronic acid,FALSE,FALSE,31279.816731386076,3.211116782935339e-5
negative,am1,e,r2,Succinate,FALSE,FALSE,34650824.85303776,0.03557177018767398
negative,am1,e,r2,N-acetyl-glutamate,FALSE,FALSE,2277963.6293534017,0.002338507064778723
negative,am1,e,r2,Inositol,FALSE,FALSE,20035.00423582651,2.0567492098919436e-5
negative,am1,e,r2,Glycerophosphocholine (+HAc),FALSE,FALSE,37223.52508285162,3.821284732580427e-5
negative,am1,e,r2,Acetyllysine,FALSE,FALSE,81782.62940479472,8.395623800788186e-5
negative,am1,e,r2,N-acetyl-L-ornithine,FALSE,FALSE,73282.18732732182,7.522987223286941e-5
negative,am1,e,r2,Fumarate,FALSE,FALSE,5809232.938189723,0.005963630012283382
negative,am1,e,r2,a-ketoglutarate,FALSE,FALSE,1584153.0884779391,0.0016262565132122977
negative,am1,e,r2,Asparagine,FALSE,FALSE,189205.33620889016,1.94234012219025e-4
negative,am1,e,r2,Serine,FALSE,FALSE,268424.32979123184,2.7555847840883443e-4
negative,am1,e,r2,S-adenosyl-L-homocysteine,FALSE,FALSE,7223.130422196425,7.4151058886392555e-6
negative,am1,e,r2,Glutamine,FALSE,FALSE,6416930.527976071,0.006587478913403792
negative,am1,e,r2,Histidine,FALSE,FALSE,6813.995249087555,6.995096771533143e-6
negative,am1,e,r2,Methionine sulfoxide,FALSE,FALSE,7344.505258554294,7.539706610376769e-6
negative,am1,e,r2,Glycine,FALSE,FALSE,89246.7537032428,9.161874287819093e-5
negative,am1,e,r2,Threonine,FALSE,FALSE,366385.931673172,3.761236916220862e-4
negative,am1,e,r2,Alanine,FALSE,FALSE,981190.3109051703,0.0010072682655585113
negative,am1,e,r2,Threonic acid,FALSE,FALSE,173743.8011953109,1.7836154244133947e-4
negative,am1,e,r2,Glucose,FALSE,FALSE,1596470.4763819699,0.0016389012711276697
negative,am1,e,r2,Thiamine,FALSE,FALSE,20872110.904899027,0.021426847285444132
negative,am1,e,r2,Proline,FALSE,FALSE,188003.46325686402,1.9300019603642099e-4
negative,am1,e,r2,Sorbitol,FALSE,FALSE,1120871.7039432498,0.0011506620933741031
negative,am1,e,r2,Pipecolic acid,FALSE,FALSE,6170.439624912799,6.334436805624061e-6
negative,am1,e,r2,Pyridoxamine,FALSE,FALSE,11786.791402126697,1.2100059285305739e-5
negative,am1,e,r2,Valine,FALSE,FALSE,3796355.4370871317,0.0038972545020656596
negative,am1,e,r2,Tyrosine,FALSE,FALSE,127403.68786398691,1.307898073128433e-4
negative,am1,e,r2,Glycerate,FALSE,FALSE,166258.7457271921,1.7067755009532256e-4
negative,am1,e,r2,Acetyl glycine,FALSE,FALSE,34201.20257033068,3.5110197899581346e-5
negative,am1,e,r2,Methionine,FALSE,FALSE,149323.63907032213,1.5329234426957687e-4
negative,am1,e,r2,Pantothenate,FALSE,FALSE,42793.88883149613,4.393125951278461e-5
negative,am1,e,r2,Isoleucine,FALSE,FALSE,446747.19626944105,4.586207879634663e-4
negative,am1,e,r2,D-Xylose,FALSE,FALSE,29807.1619079244,3.059937296824618e-5
negative,am1,e,r2,Xanthine,FALSE,FALSE,14319.116962510103,1.4699688681038125e-5
negative,am1,e,r2,Lactate,FALSE,FALSE,5439656.378371544,0.0055842308923963165
negative,am1,e,r2,N-Acetyl-L-alanine,FALSE,FALSE,67127.07416218416,6.891116923177161e-5
negative,am1,e,r2,Leucine,FALSE,FALSE,338604.1891021273,3.47603569335194e-4
negative,am1,e,r2,Pterin,FALSE,FALSE,128684.32947807496,1.3210448566126128e-4
negative,am1,e,r2,Phenylalanine,FALSE,FALSE,280280.14215780975,2.877293930892427e-4
negative,am1,e,r2,Guanine,FALSE,FALSE,2069.383442431451,2.1243832594621732e-6
negative,am1,e,r2,Tryptophan,FALSE,FALSE,96820.3687772524,9.939364855634406e-5
negative,am1,e,r2,Acetylcholine,FALSE,FALSE,1175.0084012010402,1.2062376290717757e-6
negative,am1,e,r2,2-Hydroxybutyric acid,FALSE,FALSE,1316852.0013645692,0.0013518511308862075
negative,am1,e,r2,Nicotinate,FALSE,FALSE,70164.70583599314,7.202953470427665e-5
negative,am1,e,r2,5-Methylcytosine,FALSE,FALSE,3865.3296956219833,3.968061949907752e-6
negative,am1,e,r2,Creatinine,FALSE,FALSE,10949.250541022304,1.124025836684708e-5
negative,am1,e,r2,Hypoxanthine,FALSE,FALSE,923.7911189367613,9.483435249695603e-7
negative,am1,e,r2,Acetyl-Methionine,FALSE,FALSE,2954.823814955409,3.033356756626973e-6
negative,am1,e,r2,Uridine,FALSE,FALSE,7742.4310118726835,7.948208385120461e-6
negative,am1,e,r2,Hydroxyphenyllactic acid,FALSE,FALSE,10962.380092906506,1.1253736874336375e-5
negative,am1,e,r2,2-Hydroxy-3-methylbutyric acid,FALSE,FALSE,1815400.5645051415,0.0018636500560386857
negative,am1,e,r2,Pyruvate,FALSE,FALSE,1180414.8271852506,0.0012117877463767074
negative,am1,e,r2,Adenine,FALSE,FALSE,43381.0946331901,4.453407199760474e-5
negative,am1,e,r2,Acetyl leucine,FALSE,FALSE,53192.46797606733,5.460621080695556e-5
negative,am1,e,r2,Phenylethanolamine,FALSE,FALSE,1179485.6821844794,0.0012108339066750947
negative,am1,e,r2,1-Methyladenosine,FALSE,FALSE,42708.94460945729,4.384405765372493e-5
negative,am1,e,r2,3 4-Dimethoxyphenylacetic acid,FALSE,FALSE,418441.5430618472,4.2956283060796476e-4
negative,am1,e,r2,Hydroxy-methoxycinnamic acid,FALSE,FALSE,265149.406117461,2.7219651421895924e-4
negative,am1,e,r2,4-Hydroxy-3-methylbenzoic acid,FALSE,FALSE,365999.2326381312,3.757267149479491e-4
negative,am1,e,r2,Phenylacetylglycine,FALSE,FALSE,22372.808306172883,2.2967430036526126e-5
negative,am1,e,r2,Leucic acid,FALSE,FALSE,499827.95061432495,5.131123160281743e-4
